topic_id,token_order,token_value,token
0,00,12.227596789957957,default
0,01,11.212636102294237,office chairman
0,02,10.857515279550206,phones
0,03,10.68137968094921,shuttle
0,04,10.592487781960163,representations
0,05,10.45823742190909,clickathome
0,06,10.452865733786291,cutoff
0,07,10.04857302177601,olympic
0,08,9.98862202063823,copyrighted
0,09,9.660985195538425,onepass
0,10,9.6284868150213,parsippany
0,11,9.502461895736776,online http
0,12,9.385167030816692,print retain
0,13,9.357349422616025,points sheraton
0,14,9.300793082147793,warranties
0,15,9.271158976782292,daily rates
0,16,9.20531251720245,taxes fees
0,17,9.104630825969252,restrictions apply
0,18,9.079075706641296,page web
0,19,9.071306103637383,qty
0,20,8.924502706690614,continentalcom
0,21,8.915116425068256,albany
0,22,8.796174866184924,newark nj
0,23,8.783073997736828,excise
0,24,8.769570775668633,subject availability
1,00,14.221943278539435,database engine
1,01,13.504895191772953,specials
1,02,13.368800966526797,outages
1,03,12.920267513389845,tofrom
1,04,12.399267488090342,sent behalf
1,05,12.256980075956807,southwest airlines
1,06,11.967235966086111,reservations
1,07,11.209467980371613,fares
1,08,10.936751457696845,flat
1,09,10.8690192076052,center facility
1,10,10.813051625919353,terminal
1,11,10.730020130390994,lumber
1,12,10.727273409749099,hotels
1,13,10.430596963796038,orleans
1,14,10.42803160200183,new orleans
1,15,10.373764117384528,nc
1,16,10.283824593505933,newark
1,17,10.173293377041798,nonrefundable
1,18,10.150062347215785,flights
1,19,10.065623171184843,passenger
1,20,9.935486082708035,az
1,21,9.833332013576499,nv
1,22,9.618718749119811,final input
1,23,9.574975628141878,internet specials
1,24,9.46071512205786,miami
2,00,12.827252417401994,intended recipient
2,01,12.469469554910383,recipient
2,02,11.770259771827494,strictly prohibited
2,03,11.30219967595195,sender
2,04,11.168071825220839,privileged
2,05,11.03056834000538,email attachments
2,06,10.699286011638838,binding
2,07,10.532615093476185,contact sender
2,08,10.172360881553166,strictly
2,09,9.84834213937581,sender immediately
2,10,9.501203576512866,persons entities
2,11,9.304396591407087,confidentiality notice
2,12,8.982804947377552,disseminate
2,13,8.961785050983739,confidential information
2,14,8.754029323793501,confidential andor
2,15,8.50858514591678,notified dissemination
2,16,8.468579901213886,andor privileged
2,17,8.268193258895103,kaymann
2,18,8.210560993423407,email confidential
2,19,8.179603849454463,copying email
